Experiment,Point,Cell,Treatment,Frame,Time,X,Y,Velocity,Cell_Area,Cell_X,Cell_Y,Cell_Major,Cell_Minor,Cell_Angle
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,233,111,373.416,187.966,1.171997772,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,234,114,374.15,188.7,0.346010918,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,235,117,374.045,187.127,0.525500185,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,236,120,373.521,187.966,0.329730024,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,237,123,372.997,188.071,0.178138835,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,238,126,372.368,188.281,0.221043234,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,239,129,373.102,189.748,0.546793176,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,240,132,372.158,189.643,0.316607187,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,241,135,372.158,190.482,0.279666667,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,242,138,370.376,184.612,2.044842401,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,243,141,369.328,182.829,0.689395307,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,244,144,367.231,181.781,0.781431237,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,245,147,359.264,178.951,2.818234061,952,355.1,186.2,43.9,27.6,160
